證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
1258 其祥-KY,2017/11/1,32.1,32.1,32,32.1,10
1258 其祥-KY,2017/11/2,32.05,32.05,32.05,32.05,1
1258 其祥-KY,2017/11/3,31.95,32,31.95,31.95,8
1258 其祥-KY,2017/11/6,32.25,32.25,32.25,32.25,1
1258 其祥-KY,2017/11/7,31.95,32,31.9,32,3
1258 其祥-KY,2017/11/8,32,32.2,32,32.2,7
1258 其祥-KY,2017/11/9,32.75,32.9,32.25,32.3,43
1258 其祥-KY,2017/11/10,32.45,32.45,32.45,32.45,3
1258 其祥-KY,2017/11/13,29.8,29.95,29.25,29.5,287
1258 其祥-KY,2017/11/14,29.5,29.5,28.55,28.95,64
1258 其祥-KY,2017/11/15,29,29.35,29,29.2,32
1258 其祥-KY,2017/11/16,29.2,29.3,29.2,29.3,2
1258 其祥-KY,2017/11/17,29.4,29.7,29.4,29.7,20
1258 其祥-KY,2017/11/20,29.8,30.65,29.6,29.6,60
1258 其祥-KY,2017/11/21,30.3,30.3,29.5,29.5,22
1258 其祥-KY,2017/11/22,28.9,29.4,28.9,29.4,33
1258 其祥-KY,2017/11/23,29.85,29.85,29,29.1,18
1258 其祥-KY,2017/11/24,29,29,28.9,28.9,19
1258 其祥-KY,2017/11/27,28.9,29,28.8,28.8,72
1258 其祥-KY,2017/11/28,29,29,28.8,28.8,43
1258 其祥-KY,2017/11/29,28.85,29,28.65,28.75,27
1258 其祥-KY,2017/11/30,28.2,28.95,28.2,28.95,6
1258 其祥-KY,2017/12/1,28.65,28.65,28.4,28.45,7
1258 其祥-KY,2017/12/4,28.35,28.4,28.35,28.4,4
1258 其祥-KY,2017/12/5,28.4,28.7,28.4,28.7,4
1258 其祥-KY,2017/12/6,28.7,28.7,28.4,28.5,11
1258 其祥-KY,2017/12/7,28.5,28.55,28.5,28.55,19
1258 其祥-KY,2017/12/8,28.7,28.8,28.7,28.8,18
1259 安心,2017/11/1,82.5,82.5,82.5,82.5,3
1259 安心,2017/11/2,82.6,82.6,82.6,82.6,1
1259 安心,2017/11/3,83,83.8,82.4,83.7,14
1259 安心,2017/11/6,83.7,83.7,82.2,83,5
1259 安心,2017/11/7,83,83,83,83,0
1259 安心,2017/11/8,83.4,83.7,82.6,83.7,9
1259 安心,2017/11/9,82.2,83.5,82.2,82.8,10
1259 安心,2017/11/10,81.8,83.7,81.8,83.7,5
1259 安心,2017/11/13,83.7,83.7,83,83.1,8
1259 安心,2017/11/14,83.5,86,83.1,85.6,40
1259 安心,2017/11/15,85.6,86,85.1,86,29
1259 安心,2017/11/16,85.1,86.2,85.1,86.2,12
1259 安心,2017/11/17,86.2,86.3,86,86.2,16
1259 安心,2017/11/20,87.4,88,87.4,87.5,20
1259 安心,2017/11/21,87.5,87.5,87.5,87.5,23
1259 安心,2017/11/22,87.1,87.6,87.1,87.6,4
1259 安心,2017/11/23,88.9,88.9,87.7,88.1,9
1259 安心,2017/11/24,88.2,90.9,88.2,89,21
1259 安心,2017/11/27,90.5,90.5,89.4,90.2,29
1259 安心,2017/11/28,90.1,90.7,90,90,31
1259 安心,2017/11/29,90,91.1,90,90.3,16
1259 安心,2017/11/30,89.1,89.1,88.3,88.3,8
1259 安心,2017/12/1,88.3,88.8,88.3,88.5,5
1259 安心,2017/12/4,89,89,86.6,89,5
1259 安心,2017/12/5,89,89,89,89,1
1259 安心,2017/12/6,89,89,88.5,89,7
1259 安心,2017/12/7,88,88,88,88,2
1259 安心,2017/12/8,88,88,87.7,87.7,6
1264 德麥,2017/11/1,224,224.5,223.5,223.5,18
1264 德麥,2017/11/2,223.5,224,223,223.5,18
1264 德麥,2017/11/3,224.5,225,224,224,17
1264 德麥,2017/11/6,224,225,224,224,16
1264 德麥,2017/11/7,224,224,223,223.5,14
1264 德麥,2017/11/8,223.5,224,223.5,224,7
1264 德麥,2017/11/9,224,224,222.5,222.5,25
1264 德麥,2017/11/10,222,223,222,222.5,29
1264 德麥,2017/11/13,223,223.5,223,223,15
1264 德麥,2017/11/14,223,224,222.5,223.5,21
1264 德麥,2017/11/15,223,223,222.5,222.5,10
1264 德麥,2017/11/16,222.5,225,222.5,225,16
1264 德麥,2017/11/17,225,226.5,225,226,22
1264 德麥,2017/11/20,228,248.5,228,239.5,167
1264 德麥,2017/11/21,245,245,235,237,61
1264 德麥,2017/11/22,235,235,232,232,47
1264 德麥,2017/11/23,232,233,229.5,233,25
1264 德麥,2017/11/24,233,237.5,232,237.5,14
1264 德麥,2017/11/27,235.5,239,235,239,45
1264 德麥,2017/11/28,240,240.5,239,239,31
1264 德麥,2017/11/29,239,239,236,236,17
1264 德麥,2017/11/30,235,235,233,233,12
1264 德麥,2017/12/1,231,231.5,230,231.5,31
1264 德麥,2017/12/4,231.5,235,231.5,233.5,13
1264 德麥,2017/12/5,233.5,233.5,231.5,231.5,18
1264 德麥,2017/12/6,230.5,231,230.5,231,18
1264 德麥,2017/12/7,230,232,230,230.5,30
1264 德麥,2017/12/8,230,231,230,231,11
1268 漢來美食,2017/11/1,162,163.5,162,163,16
1268 漢來美食,2017/11/2,163,164,162,164,32
1268 漢來美食,2017/11/3,165.5,165.5,163,163,30
1268 漢來美食,2017/11/6,163.5,163.5,162,163,29
1268 漢來美食,2017/11/7,165,165,162.5,162.5,30
1268 漢來美食,2017/11/8,162.5,164,162,164,24
1268 漢來美食,2017/11/9,164.5,164.5,161.5,162,42
1268 漢來美食,2017/11/10,162,163,160.5,160.5,48
1268 漢來美食,2017/11/13,161,161,158,159,38
1268 漢來美食,2017/11/14,160,160,158,158,24
1268 漢來美食,2017/11/15,158,158.5,156,158.5,24
1268 漢來美食,2017/11/16,158,158.5,158,158,15
1268 漢來美食,2017/11/17,157,157,156,157,21
1268 漢來美食,2017/11/20,158,158,155,156,25
1268 漢來美食,2017/11/21,155,156,155,155,15
1268 漢來美食,2017/11/22,155,155,153.5,153.5,49
1268 漢來美食,2017/11/23,153,153.5,152,152,42
1268 漢來美食,2017/11/24,151,152,150.5,150.5,41
1268 漢來美食,2017/11/27,150,152,149,151,40
1268 漢來美食,2017/11/28,151,153,151,151,25
1268 漢來美食,2017/11/29,152,153,151.5,153,26
1268 漢來美食,2017/11/30,153,153.5,151,151,54
1268 漢來美食,2017/12/1,151,151.5,151,151,20
1268 漢來美食,2017/12/4,150.5,151.5,150.5,150.5,16
1268 漢來美食,2017/12/5,151.5,152,151.5,151.5,16
1268 漢來美食,2017/12/6,151.5,151.5,150,150,66
1268 漢來美食,2017/12/7,149.5,149.5,146,146.5,56
1268 漢來美食,2017/12/8,148,148,140.5,143,73
1333 恩得利,2017/11/1,3.58,3.58,3.58,3.58,5
1333 恩得利,2017/11/2,3.51,3.52,3.51,3.51,36
1333 恩得利,2017/11/3,3.55,3.86,3.55,3.86,190
1333 恩得利,2017/11/6,3.85,3.85,3.68,3.73,29
1333 恩得利,2017/11/7,3.98,3.98,3.71,3.71,63
1333 恩得利,2017/11/8,3.74,3.75,3.72,3.75,50
1333 恩得利,2017/11/9,3.74,3.88,3.74,3.84,16
1333 恩得利,2017/11/10,3.96,3.96,3.95,3.95,38
1333 恩得利,2017/11/13,3.92,3.92,3.92,3.92,10
1333 恩得利,2017/11/14,4.3,4.3,3.92,4.11,30
1333 恩得利,2017/11/15,3.92,4.11,3.92,4.1,35
1333 恩得利,2017/11/16,4,4.09,3.9,3.9,47
1333 恩得利,2017/11/17,3.9,3.9,3.67,3.8,110
1333 恩得利,2017/11/20,3.57,3.71,3.57,3.6,133
1333 恩得利,2017/11/21,3.78,3.89,3.69,3.7,35
1333 恩得利,2017/11/22,3.89,3.89,3.74,3.8,13
1333 恩得利,2017/11/23,3.8,3.8,3.8,3.8,4
1333 恩得利,2017/11/24,3.93,3.93,3.93,3.93,2
1333 恩得利,2017/11/27,3.77,3.77,3.76,3.77,69
1333 恩得利,2017/11/28,3.58,3.9,3.58,3.9,50
1333 恩得利,2017/11/29,3.65,3.69,3.65,3.69,12
1333 恩得利,2017/11/30,3.65,3.7,3.65,3.7,17
1333 恩得利,2017/12/1,3.7,3.85,3.63,3.68,156
1333 恩得利,2017/12/4,3.7,3.71,3.7,3.71,10
1333 恩得利,2017/12/5,3.79,3.9,3.79,3.9,51
1333 恩得利,2017/12/6,3.99,3.99,3.9,3.9,40
1333 恩得利,2017/12/7,3.98,3.99,3.97,3.99,61
1333 恩得利,2017/12/8,3.99,4,3.92,4,30
1336 台翰,2017/11/1,19.9,20.2,19.8,19.8,495
1336 台翰,2017/11/2,19.85,20.9,19.85,20.5,"1,309"
